Plant,State,District,Climate_Season,Agri_Season,Month,Year,Soil_Type,Rainfall_Level,Festival,Expected_Yield_kg_per_acre,Growth_Score,Image_Class,Demand_Level,Price_Index,Supply_Level,Is_Perishable,Reason_for_Demand
Sugarcane,West Bengal,West Bengal,Autumn,Kharif,October,2010,Red,Medium,Dussehra,39906,68,4,3,2,5,0,Traditional consumption and cultural preference during this period
Marigold,Nagaland,Nagaland,Winter,Rabi,November,2017,Alluvial,High,Diwali,5089,46,3,8,6,6,1,High floral demand for garlands and decorations
Cotton,Meghalaya,Meghalaya,Autumn,Kharif,October,2023,Red,Medium,Navratri,1008,61,4,5,6,6,0,Used for diya wicks and traditional textiles
Wheat,Odisha,Odisha,Spring,Rabi,March,2016,Alluvial,High,Ugadi,3336,58,3,3,2,8,0,Traditional consumption and cultural preference during this period
Banana,Andhra Pradesh,Andhra Pradesh,Spring,Rabi,March,2022,Alluvial,High,Holi,3108,33,2,9,10,5,1,Traditional consumption and cultural preference during this period
Groundnut,Karnataka,Karnataka,Winter,Rabi,January,2013,Black,High,Pongal,1234,39,2,5,6,6,0,Traditional consumption and cultural preference during this period
Sugarcane,Himachal Pradesh,Himachal Pradesh,Summer,Kharif,April,2013,Red,Medium,Ram Navami,40062,78,4,5,3,5,0,Traditional consumption and cultural preference during this period
Wheat,Sikkim,Sikkim,Winter,Rabi,November,2014,Alluvial,Medium,Diwali,3304,58,3,6,4,8,0,Traditional consumption and cultural preference during this period
Jasmine,Assam,Assam,Winter,Rabi,January,2012,Alluvial,High,Lohri,2675,47,3,3,3,8,1,Traditional consumption and cultural preference during this period
Rice,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Spring,Rabi,March,2022,Arid & Desert,Medium,Holi,3359,43,3,8,7,4,0,Staple grain used widely in festive meals and offerings
Sesame,Arunachal Pradesh,Arunachal Pradesh,Winter,Rabi,January,2014,Alluvial,High,Pongal,958,52,3,5,6,6,0,Traditional consumption and cultural preference during this period
Rice,Assam,Assam,Autumn,Kharif,July,2023,Alluvial,High,Rath Yatra,3984,78,4,7,5,5,0,Staple grain used widely in festive meals and offerings
Jasmine,Gujarat,Gujarat,Spring,Rabi,March,2023,Alluvial,Low,Holi,2363,42,3,9,10,4,1,Traditional consumption and cultural preference during this period
Banana,Odisha,Odisha,Summer,Kharif,April,2019,Red,High,Ram Navami,3225,72,4,7,6,8,1,Traditional consumption and cultural preference during this period
Jasmine,Maharashtra,Maharashtra,Winter,Rabi,January,2021,Black,High,Pongal,2704,57,3,8,9,8,1,Traditional consumption and cultural preference during this period
Groundnut,Lakshadweep,Lakshadweep,Autumn,Kharif,October,2011,Arid & Desert,Medium,Dussehra,986,57,3,5,4,6,0,Traditional consumption and cultural preference during this period
Banana,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Spring,Rabi,March,2024,Arid & Desert,High,Ugadi,2835,41,3,6,4,5,1,Traditional consumption and cultural preference during this period
Wheat,Rajasthan,Rajasthan,Spring,Rabi,March,2012,Arid & Desert,Low,Ram Navami,3025,54,3,5,2,8,0,Traditional consumption and cultural preference during this period
Turmeric,Assam,Assam,Autumn,Kharif,July,2020,Red,High,Rath Yatra,2706,64,4,3,1,5,0,Traditional consumption and cultural preference during this period
Millet,Jharkhand,Jharkhand,Autumn,Kharif,October,2016,Laterite,Low,Diwali,1607,61,4,3,2,8,0,Traditional consumption and cultural preference during this period
Banana,Madhya Pradesh,Madhya Pradesh,Summer,Kharif,April,2015,Black,High,Ugadi,3137,60,3,6,4,5,1,Traditional consumption and cultural preference during this period
Cotton,Andhra Pradesh,Andhra Pradesh,Spring,Rabi,March,2014,Alluvial,High,Ram Navami,903,44,3,5,6,6,0,Traditional consumption and cultural preference during this period
Rice,Meghalaya,Meghalaya,Autumn,Kharif,October,2022,Laterite,High,Navratri,3873,79,4,9,10,4,0,Staple grain used widely in festive meals and offerings
Sesame,Chandigarh,Chandigarh,Summer,Kharif,April,2022,Laterite,Medium,Ram Navami,1049,54,3,7,7,6,0,Traditional consumption and cultural preference during this period
Wheat,Rajasthan,Rajasthan,Summer,Kharif,April,2014,Arid & Desert,Low,Vishu,3029,41,3,3,5,7,0,Traditional consumption and cultural preference during this period
Cotton,Assam,Assam,Winter,Rabi,January,2019,Alluvial,Medium,Pongal,800,35,2,6,7,5,0,Traditional consumption and cultural preference during this period
Wheat,Bihar,Bihar,Summer,Kharif,June,2019,Alluvial,Medium,Rath Yatra,3247,34,2,6,7,8,0,Traditional consumption and cultural preference during this period
Cotton,Karnataka,Karnataka,Winter,Rabi,January,2024,Black,High,Makar Sankranti,998,64,4,5,7,6,0,Traditional consumption and cultural preference during this period
Banana,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Summer,Kharif,April,2024,Alluvial,Low,Vishu,3019,74,4,7,8,8,1,Banana fruits and leaves used in rituals and feasts
Rice,Nagaland,Nagaland,Autumn,Kharif,October,2024,Alluvial,High,Dussehra,3759,96,5,5,3,6,0,Staple grain used widely in festive meals and offerings
Wheat,Puducherry,Puducherry,Winter,Rabi,January,2013,Black,High,Pongal,2991,63,4,3,2,4,0,Traditional consumption and cultural preference during this period
Millet,Chhattisgarh,Chhattisgarh,Autumn,Kharif,October,2013,Black,Low,Dussehra,1718,70,4,3,1,6,0,Traditional consumption and cultural preference during this period
Rice,Bihar,Bihar,Winter,Rabi,November,2011,Alluvial,Medium,Wedding Season,3608,49,3,9,8,8,0,Staple grain used widely in festive meals and offerings
Rice,Sikkim,Sikkim,Autumn,Kharif,October,2017,Alluvial,Low,Navratri,3222,64,4,8,8,5,0,Staple grain used widely in festive meals and offerings
Wheat,Jammu & Kashmir,Jammu & Kashmir,Spring,Rabi,March,2011,Red,High,Holi,3318,70,4,5,6,8,0,Traditional consumption and cultural preference during this period
Marigold,Madhya Pradesh,Madhya Pradesh,Autumn,Kharif,October,2023,Black,High,Navratri,5118,79,4,10,8,8,1,High floral demand for garlands and decorations
Millet,Mizoram,Mizoram,Autumn,Kharif,October,2011,Black,Medium,Diwali,1549,61,4,6,4,4,0,Traditional consumption and cultural preference during this period
Groundnut,Gujarat,Gujarat,Summer,Kharif,April,2023,Alluvial,Medium,Wedding Season,1309,69,4,5,7,6,0,Traditional consumption and cultural preference during this period
Wheat,Kerala,Kerala,Winter,Rabi,January,2015,Red,Medium,Pongal,3309,80,4,3,3,6,0,Traditional consumption and cultural preference during this period
Jasmine,Chandigarh,Chandigarh,Winter,Rabi,January,2015,Laterite,Low,Lohri,2567,45,3,6,5,4,1,Traditional consumption and cultural preference during this period
Sugarcane,Madhya Pradesh,Madhya Pradesh,Autumn,Kharif,October,2020,Red,High,Dussehra,40234,68,4,3,4,5,0,Traditional consumption and cultural preference during this period
Wheat,Punjab,Punjab,Spring,Rabi,March,2013,Alluvial,High,Holi,3224,58,3,7,5,5,0,Traditional consumption and cultural preference during this period
Banana,Andhra Pradesh,Andhra Pradesh,Autumn,Kharif,October,2012,Red,High,Navratri,2911,62,4,8,5,8,1,Traditional consumption and cultural preference during this period
Sesame,Rajasthan,Rajasthan,Spring,Rabi,March,2021,Arid & Desert,Low,Holi,887,53,3,4,2,6,0,Traditional consumption and cultural preference during this period
Sugarcane,Karnataka,Karnataka,Autumn,Kharif,October,2011,Red,Medium,Navratri,40061,60,3,10,10,7,0,Traditional consumption and cultural preference during this period
Banana,Himachal Pradesh,Himachal Pradesh,Spring,Rabi,March,2023,Black,High,Ugadi,3184,42,3,3,2,7,1,Traditional consumption and cultural preference during this period
Marigold,Odisha,Odisha,Summer,Kharif,April,2014,Alluvial,Medium,Wedding Season,4879,77,4,9,10,4,1,High floral demand for garlands and decorations
Turmeric,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,June,2023,Red,Low,Rath Yatra,2985,58,3,7,9,6,0,Traditional consumption and cultural preference during this period
Millet,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,April,2016,Alluvial,Low,Vishu,1564,61,4,3,1,4,0,Traditional consumption and cultural preference during this period
Rice,Kerala,Kerala,Winter,Rabi,November,2019,Red,Medium,Wedding Season,3540,56,3,10,9,4,0,Staple grain used widely in festive meals and offerings
Groundnut,Himachal Pradesh,Himachal Pradesh,Spring,Rabi,March,2017,Red,Medium,Ugadi,1403,35,2,3,1,8,0,Traditional consumption and cultural preference during this period
Turmeric,Tripura,Tripura,Winter,Rabi,January,2021,Alluvial,Low,Pongal,2776,43,3,8,6,7,0,Turmeric used in auspicious rituals and ceremonies
Jasmine,Tripura,Tripura,Winter,Rabi,January,2016,Red,High,Makar Sankranti,2252,44,3,8,9,8,1,Traditional consumption and cultural preference during this period
Millet,Rajasthan,Rajasthan,Autumn,Kharif,October,2016,Arid & Desert,Low,Navratri,1687,58,3,6,7,5,0,Traditional consumption and cultural preference during this period
Rice,Jammu & Kashmir,Jammu & Kashmir,Autumn,Kharif,October,2018,Red,High,Navratri,3645,78,4,10,10,8,0,Staple grain used widely in festive meals and offerings
Groundnut,Uttarakhand,Uttarakhand,Winter,Rabi,January,2014,Laterite,High,Lohri,1024,39,2,3,4,7,0,Traditional consumption and cultural preference during this period
Sugarcane,Ladakh,Ladakh,Winter,Rabi,January,2017,Alluvial,Low,Pongal,39573,57,3,9,10,7,0,Harvest festival rituals use sugarcane heavily
Turmeric,Himachal Pradesh,Himachal Pradesh,Winter,Rabi,January,2013,Laterite,Low,Lohri,2813,35,2,3,3,5,0,Traditional consumption and cultural preference during this period
Groundnut,Lakshadweep,Lakshadweep,Summer,Kharif,April,2021,Arid & Desert,High,Vishu,1415,80,4,6,6,4,0,Traditional consumption and cultural preference during this period
Cotton,Meghalaya,Meghalaya,Winter,Rabi,November,2022,Laterite,Medium,Diwali,856,63,4,6,8,4,0,Used for diya wicks and traditional textiles
Jasmine,Meghalaya,Meghalaya,Summer,Kharif,April,2016,Black,High,Ugadi,2708,76,4,7,6,6,1,Traditional consumption and cultural preference during this period
Banana,Andhra Pradesh,Andhra Pradesh,Spring,Rabi,March,2016,Saline/Alkaline,High,Holi,3116,40,2,8,6,7,1,Traditional consumption and cultural preference during this period
Banana,Andhra Pradesh,Andhra Pradesh,Winter,Rabi,December,2019,Alluvial,High,Christmas,3204,64,4,5,4,8,1,Traditional consumption and cultural preference during this period
Turmeric,Meghalaya,Meghalaya,Spring,Rabi,March,2018,Black,High,Holi,2980,42,3,9,7,8,0,Traditional consumption and cultural preference during this period
Cotton,West Bengal,West Bengal,Summer,Kharif,April,2017,Alluvial,High,Wedding Season,734,86,5,5,4,4,0,Traditional consumption and cultural preference during this period
Turmeric,Rajasthan,Rajasthan,Winter,Rabi,January,2022,Arid & Desert,Low,Pongal,3011,23,2,9,10,5,0,Turmeric used in auspicious rituals and ceremonies
Groundnut,Telangana,Telangana,Spring,Rabi,March,2011,Alluvial,Medium,Ugadi,1288,40,2,5,5,5,0,Traditional consumption and cultural preference during this period
Sesame,Meghalaya,Meghalaya,Summer,Kharif,April,2012,Red,Low,Ugadi,1139,84,5,6,6,7,0,Traditional consumption and cultural preference during this period
Groundnut,Madhya Pradesh,Madhya Pradesh,Winter,Rabi,January,2014,Red,High,Lohri,965,37,2,5,3,6,0,Traditional consumption and cultural preference during this period
Rice,Goa,Goa,Winter,Rabi,January,2015,Black,High,Lohri,4017,40,2,7,9,4,0,Staple grain used widely in festive meals and offerings
Rice,Gujarat,Gujarat,Autumn,Kharif,October,2016,Alluvial,Medium,Dussehra,3692,91,5,3,3,5,0,Staple grain used widely in festive meals and offerings
Turmeric,Lakshadweep,Lakshadweep,Winter,Rabi,January,2024,Arid & Desert,High,Lohri,2830,48,3,4,2,7,0,Traditional consumption and cultural preference during this period
Turmeric,Haryana,Haryana,Winter,Rabi,January,2010,Alluvial,Medium,Pongal,2749,61,4,8,6,6,0,Turmeric used in auspicious rituals and ceremonies
Wheat,Jammu & Kashmir,Jammu & Kashmir,Autumn,Kharif,October,2021,Laterite,Low,Diwali,3138,43,3,3,2,5,0,Traditional consumption and cultural preference during this period
Groundnut,Kerala,Kerala,Autumn,Kharif,October,2018,Alluvial,High,Dussehra,1277,71,4,3,4,5,0,Traditional consumption and cultural preference during this period
Sesame,Mizoram,Mizoram,Winter,Rabi,January,2016,Black,Medium,Makar Sankranti,716,28,2,5,6,7,0,Til-based sweets and snacks drive demand
Millet,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,Spring,Rabi,March,2023,Arid & Desert,Low,Ugadi,1535,31,2,6,8,4,0,Traditional consumption and cultural preference during this period
Millet,Andhra Pradesh,Andhra Pradesh,Summer,Kharif,April,2023,Alluvial,High,Vishu,1421,80,4,7,8,8,0,Traditional consumption and cultural preference during this period
Sugarcane,Andhra Pradesh,Andhra Pradesh,Winter,Rabi,November,2020,Alluvial,High,Diwali,40137,58,3,9,7,7,0,Traditional consumption and cultural preference during this period
Jasmine,Puducherry,Puducherry,Autumn,Kharif,October,2012,Red,High,Diwali,2744,64,4,10,10,6,1,High floral demand for garlands and decorations
Groundnut,Lakshadweep,Lakshadweep,Summer,Kharif,April,2011,Arid & Desert,Low,Vishu,1333,74,4,7,6,7,0,Traditional consumption and cultural preference during this period
Rice,Gujarat,Gujarat,Summer,Kharif,June,2019,Alluvial,Medium,Rath Yatra,3381,77,4,4,3,4,0,Staple grain used widely in festive meals and offerings
Sesame,Himachal Pradesh,Himachal Pradesh,Winter,Rabi,November,2014,Black,High,Wedding Season,1056,43,3,5,4,7,0,Traditional consumption and cultural preference during this period
Marigold,Maharashtra,Maharashtra,Winter,Rabi,January,2011,Black,High,Pongal,4907,51,3,9,8,8,1,Traditional consumption and cultural preference during this period
Banana,West Bengal,West Bengal,Autumn,Kharif,October,2017,Saline/Alkaline,High,Navratri,3085,69,4,8,6,7,1,Traditional consumption and cultural preference during this period
Banana,Haryana,Haryana,Spring,Rabi,March,2018,Red,Medium,Holi,3001,56,3,10,7,8,1,Traditional consumption and cultural preference during this period
Jasmine,Delhi,Delhi,Summer,Kharif,May,2016,Alluvial,Low,Wedding Season,2492,51,3,10,10,5,1,High floral demand for garlands and decorations
Sugarcane,Nagaland,Nagaland,Summer,Kharif,June,2013,Black,Medium,Rath Yatra,40086,58,3,7,6,8,0,Traditional consumption and cultural preference during this period
Sesame,Gujarat,Gujarat,Winter,Rabi,February,2024,Alluvial,Medium,Wedding Season,766,60,3,4,6,7,0,Traditional consumption and cultural preference during this period
Millet,Rajasthan,Rajasthan,Winter,Rabi,January,2022,Red,Low,Makar Sankranti,1509,61,4,4,6,5,0,Traditional consumption and cultural preference during this period
Cotton,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,April,2013,Red,High,Vishu,885,66,4,4,3,6,0,Traditional consumption and cultural preference during this period
Sugarcane,Rajasthan,Rajasthan,Winter,Rabi,January,2010,Arid & Desert,Low,Makar Sankranti,39850,32,2,8,10,4,0,Harvest festival rituals use sugarcane heavily
Sesame,Bihar,Bihar,Autumn,Kharif,October,2022,Alluvial,Medium,Dussehra,779,76,4,4,1,8,0,Traditional consumption and cultural preference during this period
Groundnut,Himachal Pradesh,Himachal Pradesh,Summer,Kharif,April,2014,Red,Low,Ram Navami,1090,67,4,4,5,6,0,Traditional consumption and cultural preference during this period
Sugarcane,Delhi,Delhi,Winter,Rabi,January,2019,Alluvial,Low,Makar Sankranti,39849,39,2,8,6,6,0,Harvest festival rituals use sugarcane heavily
Millet,Arunachal Pradesh,Arunachal Pradesh,Summer,Kharif,April,2013,Red,High,Ram Navami,1387,66,4,4,5,6,0,Traditional consumption and cultural preference during this period
Millet,Delhi,Delhi,Winter,Rabi,January,2016,Alluvial,Medium,Lohri,1459,52,3,3,1,6,0,Traditional consumption and cultural preference during this period
Groundnut,Arunachal Pradesh,Arunachal Pradesh,Autumn,Kharif,October,2017,Red,High,Dussehra,1421,59,3,7,8,8,0,Traditional consumption and cultural preference during this period
Wheat,Punjab,Punjab,Winter,Rabi,December,2022,Alluvial,Medium,Christmas,3230,83,5,5,3,4,0,Traditional consumption and cultural preference during this period
Sugarcane,Punjab,Punjab,Spring,Rabi,March,2016,Alluvial,High,Holi,40324,57,3,10,8,8,0,Traditional consumption and cultural preference during this period
Cotton,Punjab,Punjab,Winter,Rabi,December,2018,Alluvial,Medium,Christmas,712,54,3,6,7,5,0,Traditional consumption and cultural preference during this period
Sugarcane,Ladakh,Ladakh,Autumn,Kharif,July,2010,Arid & Desert,Low,Rath Yatra,39667,67,4,3,5,6,0,Traditional consumption and cultural preference during this period
Rice,Goa,Goa,Spring,Rabi,March,2017,Alluvial,High,Ugadi,3924,46,3,4,2,8,0,Staple grain used widely in festive meals and offerings
Rice,Kerala,Kerala,Summer,Kharif,April,2022,Alluvial,High,Vishu,4022,89,5,4,2,7,0,Staple grain used widely in festive meals and offerings
Rice,Telangana,Telangana,Spring,Rabi,March,2022,Alluvial,Low,Holi,2854,48,3,9,9,5,0,Staple grain used widely in festive meals and offerings
Rice,Ladakh,Ladakh,Spring,Rabi,March,2011,Alluvial,Low,Ram Navami,3309,51,3,6,5,8,0,Staple grain used widely in festive meals and offerings
Sugarcane,Madhya Pradesh,Madhya Pradesh,Spring,Rabi,March,2024,Black,Medium,Holi,39906,55,3,9,8,7,0,Traditional consumption and cultural preference during this period
Marigold,Telangana,Telangana,Winter,Rabi,January,2013,Alluvial,Medium,Pongal,5007,37,2,8,7,4,1,Traditional consumption and cultural preference during this period
Banana,Chhattisgarh,Chhattisgarh,Autumn,Kharif,October,2011,Black,High,Diwali,2871,63,4,10,9,8,1,Traditional consumption and cultural preference during this period
Turmeric,Nagaland,Nagaland,Autumn,Kharif,October,2015,Laterite,Low,Navratri,2619,46,3,9,10,7,0,Traditional consumption and cultural preference during this period
Sugarcane,Telangana,Telangana,Winter,Rabi,January,2016,Alluvial,High,Makar Sankranti,40080,54,3,9,10,4,0,Harvest festival rituals use sugarcane heavily
Jasmine,Maharashtra,Maharashtra,Winter,Rabi,January,2010,Black,Medium,Pongal,2433,38,2,8,8,7,1,Traditional consumption and cultural preference during this period
Sesame,Puducherry,Puducherry,Winter,Rabi,December,2020,Red,High,Wedding Season,812,39,2,4,6,6,0,Traditional consumption and cultural preference during this period
Cotton,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Spring,Rabi,March,2023,Red,Medium,Ugadi,872,43,3,3,3,6,0,Traditional consumption and cultural preference during this period
Jasmine,Meghalaya,Meghalaya,Winter,Rabi,January,2015,Red,High,Pongal,2560,35,2,8,7,8,1,Traditional consumption and cultural preference during this period
Banana,Uttarakhand,Uttarakhand,Summer,Kharif,June,2017,Red,Low,Rath Yatra,3093,73,4,7,8,7,1,Traditional consumption and cultural preference during this period
